"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"neas:Neas:1                          ","Class","Neas","1.0.0.0","neas","This is the Near-Earth Asteroid Scout (NEAS) mission specific data dictionary. It describes attributes that are common to NEAS data processing and science data products.","sbn","","","","","","","","","","",""
"neas:Neas:2                           neas:nssi_filename:1                 ","Attribute","nssi_filename","n/a","neas","The nssi_filename attribute refers to the original NEAScout science image (nssi) filename created onboard the Near-Earth Asteroid Scout (NEAS) spacecraft. These filenames are unique ten (10) digit identification and provide a provenance of the image data.","sbn","ASCII_Short_String_Collapsed","1","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"neas:Neas:2                           neas:processing_config:1             ","Attribute","processing_config","n/a","neas","The processing_config attribute refers to the post-processing configuration and image sample type. The acceptable values are: I for image data that is full frame and full resolution; S for subframe image at full resolution; D for a downsampled, reduced resolution image; M for a mixed subframed and downsampled image; T for a thumbnail image of reduced resolution.","sbn","ASCII_Short_String_Collapsed","1","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"neas:Neas:2                           neas:processing_config:2              Value:D","Value","D","","","D (uppercase) value signifies a downsampled, reduced resolution image."
"neas:Neas:2                           neas:processing_config:2              Value:I","Value","I","","","I (uppercase) value signifies the image data is full frame and full resolution."
"neas:Neas:2                           neas:processing_config:2              Value:M","Value","M","","","M (uppercase) value signifies an subframed image of reduced resolution."
"neas:Neas:2                           neas:processing_config:2              Value:S","Value","S","","","S (uppercase) value signifies a full resolution, subframe image."
"neas:Neas:2                           neas:processing_config:2              Value:T","Value","T","","","T (uppercase) value signifies a thumbnail image of reduced resolution."
